,solver,instance,vertices,edges,propagating_vertices,omega,variables,constraints,run,lower_bound,upper_bound,gap,result,nodes,t_solver,callbacks,t_callback,lazy_constraints
3537,efpss-inp-outp,../inputs/case2383wp.graphml,2383,2886,552,2,7151,4915,3,693.0,693,0.0,Optimal,1868,5145324,32,20061,91
3538,efpss-inp,../inputs/case2848rte.graphml,2848,3442,1023,9,6360,4851,2,585.0,585,0.0,Optimal,1239,1278192,16,16249,1122
3539,efpss-outp-init,../inputs/case6495rte.graphml,6495,8084,2344,15,13901,23048,4,1314.0,1314,0.0,Optimal,1951,4537362,14,19102,13
3540,efpss-outp-init,../inputs/case6470rte.graphml,6470,8066,2352,6,16457,23198,3,1325.0,1325,0.0,Optimal,1784,6455047,21,34369,20
3541,efpss-inp,../inputs/case13659pegase.graphml,13659,18625,4024,19,28028,21548,0,2732.0,2732,0.0,Optimal,1755,15260766,100,220270,4166
3542,efpss-outp-init,../inputs/case2737sop.graphml,2737,3266,655,9,4653,6292,1,683.0,683,0.0,Optimal,1,114308,9,4013,1
3543,efpss-outp-init,../inputs/case6515rte.graphml,6515,8104,2344,15,13957,23172,0,1315.0,1315,0.0,Optimal,1,825672,14,16816,13
3544,efpss-inp-outp,../inputs/case9241pegase.graphml,9241,14207,2902,37,16971,16973,2,2010.0,2010,0.0,Optimal,6758,14403056,19,32716,131
3545,efpss-outp-init,../inputs/case9241pegase.graphml,9241,14207,2902,0,45305,32433,4,6600.0,6600,0.0,Optimal,1870,6063105,21,74852,169
3546,efpss-inp,../inputs/case2868rte.graphml,2868,3471,983,1,11955,6640,1,1330.0,1330,0.0,Optimal,4594,7620545,89,121159,3127
3547,efpss-outp-init,../inputs/case145.graphml,145,422,71,9,805,1170,2,18.0,18,0.0,Optimal,1,93575,12,685,10
3548,efpss-outp-init,../inputs/case5.graphml,5,6,0,1,17,10,0,3.0,3,0.0,Optimal,1,1874,2,6,0
3549,efpss-inp-outp,../inputs/case_Texas.graphml,2000,2667,376,14,3705,3427,4,411.0,411,0.0,Optimal,78,1412169,18,7018,14
3550,efpss-outp-init,../inputs/case_Western.graphml,10024,12241,4106,7,24548,38276,3,1837.0,1837,0.0,Optimal,1679,21403330,18,41871,7
3551,efpss-outp,../inputs/case2869pegase.graphml,2869,3968,869,15,5397,3738,0,612.0,612,0.0,Optimal,1,202044,11,4879,23
3552,efpss-outp-init,../inputs/case2848rte.graphml,2848,3442,1023,4,8258,10622,0,637.0,637,0.0,Optimal,1997,3184531,10,5969,0
3553,efpss-outp,../inputs/case6515rte.graphml,6515,8104,2344,11,14257,8884,0,1315.0,1315,0.0,Optimal,1,618535,16,18728,65
3554,efpss-inp,../inputs/case13659pegase.graphml,13659,18625,4024,10,30875,21767,4,2817.0,2817,0.0,Optimal,1680,26839017,130,369282,4671
